Genre,Lyrics
Hip-Hop,"Jus' look at them I tell you, it warms the heart to see the little ones out there Why' know, it wasn' always this easy for us to sit back an' enjoy the little ones Never forget what your people wen' through to get you here An' it's for you to tell them about us. You know that, don't you? Yeah! Kick it! See'mon, my brothers/sisters out in every land! It's up to you to shake the world, so you must understand From where our people have come and to where they must go So now I'll kick a little history that you should know You see, the Jews have been oppressed for thousands of years To every corner of the world you can trace our tears We were enslaved by the Pharoahs 'till God sent Moses Even after he delivered us, it was no bed of roses For forty years we wandered on the barren desert sand 'Till Joshua the leader brought us to the promised land So when ya kick this rhyme, you want to sing it out loud You are the nation of our fathers. Young Jews, be proud! Now our people lived here, and they held this place And they were ruled by the great leaders of our faith Now, from the house of Jesse came David the King He kept the nation strong. He wrote the songs we sing His son Solomon the Wise had it down cold He asked God for wisdom when He offered him gold And there were other dark times for the Jewish race When the innocent were persecuted for our faith But we owe a debt to all those who have died To forever stand tall and face the world with pride So when ya kick this rhyme, you want to sing it out loud You are the nation of our fathers. Young Jews, be proud!"
Hip-Hop,"Union Jack and Union Jill Back up and down the same old hill Sell the flag to the youths But who swallows the bill Murdoch she wrote Him have his hand in the till Blairful of Thatcher Stuck on the 45 The suits have changed But the old ties survive New britannia cool Who are you trying to fool? Behind your fashion-tashion I see nothing at all Care for the commodity Cuts the nation into three Rich pickings for the first Bottom third you never see While middle england keeps swinging it's Loyalty No concern for the future Just with dead royalty So will the real, the real Great Britan Step forward This is the national identity parade Shoe gazer nation forever looking Backwards Time to reject the sixties charade Not enough schools Not enough homes Just phony care in his millennium dome More prime cuts than beef on the bone And there's too many questions you're Not answering tone Union Jack and Union Jill Back up and down the same old hill Sell the flag to the youths But who swallows the bill Murdoch she wrote Him have his hand in the till So will the real, the real Great Britan Step forward This is the national identity parade Shoe gazer nation forever looking Backwards Time to reject the sixties charade"
Hip-Hop,"I'm sorry, but I don't want to be an emperor That's not my business I don't want to rule or conquer anyone I should like to help everyone, if possible Jew, Gentile, black man, white We all want to help one another Human beings are like that We want to live by each other's happiness Not by each other's misery We don't want to hate and despise one another In this world there is room for everyone And the good earth is rich and can provide for everyone The way of life can be free and beautiful, but we have lost the way Greed has poisoned man's souls, has barricaded the world with hate, Has goose-stepped us into misery and bloodshed We have developed speed, but we have shut ourselves in Machinery that gives abundance has left us in want Our knowledge has made us cynical Our cleverness, hard and unkind We think too much and feel too little More than machinery we need humanity More than cleverness we need kindness and gentleness Without these qualities, life will be violent and all will be lost The aeroplane and the radio have brought us closer together The very nature of these inventions cries out for the goodness in men Cries out for universal brotherhood for the unity of us all Even now my voice is reaching millions throughout the world Millions of despairing men, women, and little children - Victims of a system that makes men torture and imprison innocent people To those who can hear me, I say do not despair The misery that is now upon us is but the passing of greed The bitterness of men who fear the way of human progress The hate of men will pass, and dictators die, And the power they took from the people will return to the people And so long as men die, liberty will never perish Soldiers! Don't give yourselves to brutes Men who despise you, enslave you Who regiment your lives, tell you what to do What to think and what to feel! Who drill you, diet you Treat you like cattle, use you as cannon fodder Don't give yourselves to these unnatural men Machine men with machine minds and machine hearts! You are not machines! You are not cattle! You are men! You have the love of humanity in your hearts! You don't hate! Only the unloved hate, the unloved and the unnatural Soldiers! Don't fight for slavery! Fight for liberty! In the 17th chapter of St Luke it is written: ""The Kingdom of God is within man"" Not one man nor a group of men, but in all men! In you! You, the people have the power, the power to create machines The power to create happiness! You, the people, have the power to make this life free and beautiful To make this life a wonderful adventure Then, in the name of democracy Let us use that power, let us all unite!"
Hip-Hop,"In the studio I read a magazine They had a column in there asking people If they had 3 wishes What would they wish for? So I figured I'd ask myself... So if I had 3 wishes This right here would be my first: I wish I could bomb drop from the top of the Superdome On my skateboard, head up, play ball! Ollie over curbs in the 3rd Ward And then shook through the? Holla at tough guy Dodo Let him bang my brand new album In these Range Roves Puff a couple L's with him Go home, change clothes I go bring Polo, with matching Bally Animals. And then it's on to? To holla at my nigga Soulja Slim From the CutThroat Committee Split up a Philly, fill it with sticky And talk about all the hoes we fucked In out city. Give my man a hug Then I gotta get going, St. Bernard I holla at my homey Ace Let him see my new whip, ride out To the IHOP in the east and get a Bowl of cheese grits... That's what I wish for See, the 3 people I was talking about They're not alive no more East is a part of New Orleans Destroyed by Hurricane Katrina Here's my 2nd wish: [Verse 2] I just wish my nigga Wayne Would get the respect that he deserves In this fuckin game, he's the illest With these words, I know I might've said That shit before, but I'm just making sure It's heard! And my nigga Maine would Have the same success that I have Cause I'm oh-so blessed, yes And for my nigga Dizzy, 10 million Platinum plates, cause you work hard Homeboy, you deserve that And then we'd have a spliff Won't crumble to pieces like them other Real cliques. And we all get rich Then we all have kids They they all get rich, then they All have kids. Then they all get rich Then they have some more kids... Then they all stay rich and Those kids have more kids And they all get rich, then those kids Have kids... alright, alright I know that was a big wish... But I have a lot of people That I wanna thank, I feel like they Deserve that... now it's time for the 3rd wish: [Verse 3] I just wish that my ex girl would've never Fucked with any of my homies Cause it took a toll on me Now I give a fuck about her baby cause I feel like everyone is a phoney I'll never love again, move another bitch in Let her live in my crib, give her keys To my whip, shit... she ruined that For all these hoes now it's YMOB You know what I do Young Money Over Bitches, I don't Give em tongue kisses, I just Hit em with that dick and have em Pose for naked pictures And show em to my niggas, and then I gotta flip em, let everybody get a piece And after that I send em Back to where they living, but with her I was different. Word on the street was She was wyling out pretending not to hear it Girl, you had a good nigga. Oh no, I wasn't Perfect, but I had a good spirit That's the last of my wishes... That's a surprise to a lot of y'all huh? More than cars and skateboards and weed I did graduate nigga!"
Hip-Hop,"Let me get to the point real quick When ya pockets are thick, mad chicks be on a brother tip When ya sportin' jewels and drivin' in a groovy car All the hos go sweat you like a movie star To get in ya pockets, that's what the girls wanna do But if you not rich, then 'em chicks gonna front on you No matter how strong your rap You only knock boots when you got loot in you on the map 'Cause if you broke, you'll get a wack slut If you got dough, you get a ho with a fat butt With fresh gear, long hair and a cute face And if ya live alone, she's gonna pack her suit case and move in Then ya start loosin' all ya bucks Soon your brother's a joke, a not, a rut Then she takes off and brakes off, ya hos gone, so long dear I'm outta here a good relationship's been torn 'Cause when you on top, every thing's okay But when you broke you gets no play If you don't got endz, you won't be gettin' no skinz And if you don't got money, you won't skoop a honey If you don't got cash, you won't be gettin' no ass And if you don't got loot, you won't be knockin' no boots Girls of the 90's ain't nothin' but crooks It's all about what's in ya pockets not how ya look That's why you can't talk to just any whore Leavin' brothers for the next man 'cause he got a penny more They want a drug dealer not a scholar Some girls barely speak but always askin' for a dollar And if you pushin' a fresh Benz, they'll be ya best friends Yeah, as long as you collect endz, you think she's all yours But as soon as your dough go, your ho go, now you solo But when you was makin' papers sucker jumped hoes You bought dumb clothes for all of them bum hos And you was takin' 'em to the movies every weekend Now that you dead broke the girls not speakin' 'Cause nowadays girls want you to crook The only thing they can get from Big L is a big 'Cause when you on top every thing's okay But when you broke, you gets no play If you don't got endz, you won't be gettin' no skinz And if you don't got money, you won't skoop a honey If you don't got cash, you won't be gettin' no ass And if you don't got loot, you won't be knockin' no boots If you don't got endz, you won't be gettin' no skinz And if you don't got money, you won't skoop a honey If you don't got cash, you won't be gettin' no ass And if you don't got loot, you won't be knockin' no boots I tell it like it is 'cause I'm a goldfigga And I hate a money hungry girl A K A golddigger, it ain't even funny Some girls don't even know me askin' me, can they get some money I'm lookin' nothin' like ya poppa I wouldn't give a chick 10 cent to put cheese on a whopper They wanna know why I'm so fly A girl ask me for a ring and I put one around her whole eye Chicks used to diss but now they wanna kiss Yo Showbiz, I'ma break it down like this If you don't got endz, you won't be gettin' no skinz And if you don't got money, you won't skoop a honey If you don't got cash, you won't be gettin' no ass And if you don't got loot, you won't be knockin' no boots If you don't got endz, you won't be gettin' no skinz And if you don't got money, you won't skoop a honey If you don't got cash, you won't be gettin' no ass And if you don't got loot, you won't be knockin' no boots It's like that, y'all and that's a fact, y'all I hit hoes from the back and don't give a jack, y'all It's Big L, y'all, I'm livin' swell, y'all I do my thing, that spell my name, ring bells, y'all (If you don't got endz) Girls be frontin' (If you don't got endz) They ain't givin' up nothin' (If you don't got endz) All the girls ignore you (If you don't got endz) They act like they never saw you (If you don't got endz)"
Hip-Hop,"(featuring Sadat X & Talib Kweli) ""Still gettin mine, in the"" ""ONE"" ""NINE"" ""NINE"" ""NINE"" *sample cut and played in background* [Talib Kweli] Yo, just relax, take it easy slow down I had this, I had this friend of mine Who just, you know, he was movin too fast, yaknawimsayin? I told him to slow down, he said the sun don't chill I said, I said still, I said still, you gotta Just appreciate life, sit back, don't let it fly right past you No matter what go on I'm still gettin mine No matter the year, no matter the place, no matter the time [Common] Check it, it's like I'm fightin for freedom, writin for freedom These record company niggas I don't like when I see em My ancestors, when I'm writin I see em, and talk wit em Hopin in the promise land I can walk wit em Shitted on, so many rappers it's like I'm in the stall wit em Molest concepts, start rhythm, paid dues, bought wisdom As legends fall my godmother answer heaven's call Preachers' daughters get fucked in the reverand's hall MC's reckless ?I ball? why y'all wanna go and do that? Must've thought I was solo, the name just ain't the you-Ac No mo', still together Like in the ghetto photo wit one nigga in the chair Holdin liquor in despair, gang signs in the air I shine in spaces where time is just a glare Hold the mic like a memory Niggas say I'm nice wit metaphors but these are similes Street ministry, my poetry's a penitentiary, track is visitation Sentences is life, I'm like chief up in this demonstration Still... ""Still gettin mine, in the"" ""ONE"" ""NINE"" ""NINE"" ""NINE"" *sample cut and played in background 4X* [Sadat X]*in background during sample* Check it out, everyday ha yeah This how we gon' do it for y'all Common Sense, Sadat X puttin something in your ear Something for you to grab For the whole world, yaknowimsayin, but it ain't free It's a fee, check it out You squirm wit this coughin, whippin cough Six days of madness and you might throw me off On this great ball of stress that they call the earth I'ma show y'all in rhyme just how much shit I been through And all the place I went to, always played the low It's like a competition, this mission here I'm tellin you Slip up and rhyme-ass niggas here is fellin you Crash courses, slow down you can't learn that quick 'cause I'm the dead eye, wit the red eye, from Chi to L-I I thought y'all knew, every year I grew, I'm still growin And in a year or two I hope my girl'll be showin A male seed, praise God I name him Moses I lead people I want him to, that's why I chose this Now is the glass half-full or half-empty Common, why they tempt me? The king of the simply, bore in mic I always stay on top 'cause I give niggas what they like I know y'all hate that why I feel I owe y'all everyday If y'all hear it a thousand times, it's gon' be the same way The 'Dat-Father, go farther, why bother Now I'm a peaceful man, I don't want no stress You know I'm still... ""Still gettin mine, in the"" ""ONE"" ""NINE"" ""NINE"" ""NINE"" *sample cut and played in background 3X* [Common] Yo yo, some get Range Rovers, some religion change-over Angel on my main shoulder tellin me remain sober Token nigga, game's over ain't no payola in freestyle In battles, I'm warring/Warren like a G-Child Searchin for the child in me, this style in me This release is like the piece that's now in me They tried to 'sassinate me god, like Martin on the bal-cony Lyrically I put a hit on em, 'cause I'm the style-Nitty Catch a flick at the Liquid Kitty Tryin to get a chick to kick it wit me till the tilt Told her my Chamber's like Wilt Built wit her for a sec, let her know I had respect Less than a hour she was givin me neck, yo I'm still gettin mine... ""Still gettin mine, in the"" ""ONE"" ""NINE"" ""NINE"" ""NINE"" *sample cut and played in background 4X*"
Hip-Hop,"4 Letter Word 4 Letter Word 4 Letter Word 4 Letter Word You make me wanna sing to you (ah oh) Yeah, its the little things you do for me, homie, lover friend. I can spend my life with you (ah oh) Yeah, girl we ain't gotta thing to lose so, lets go, and runaway. Its you and me never gotta worry cuz we always got each other like the moon, the sea girl you got me feeling your way Your my 4 letter word, 4 letter word, my 4 letter word, 4 letter word, your my 4 letter word, 4 letter word, my 4 letter word, 4 letter word, 4 letter 4 letter word You can be anywhere in the world but your here with me. 'Cause your my 4 letter word, 4 letter word and I'm your 4 letter word (whoa) To be loved to be loved what a feeling its a drug. Ima addicted to ya hugs, and kisses and ya ahh. No matter who's around I show affection, walk you on the inside of the side walk for protection I need a moment, to take it all in feel so surreal don't it When you need me call me I will never leave you lonely and I think that's it cony to just call you my angel You my Aaliyah this letter is almost 4 pages See my parents and your parents don't agree they think our love is temporary 'cause we only teens but, Not too many get it right on the first try and I'm feeling so right for the first time. Its you and me never gotta worry cuz we always got each other like the moon, the sea girl you got me feeling your way Your my 4 letter word, 4 letter word, my 4 letter word, 4 letter word, your my 4 letter word, 4 letter word, my 4 letter word, 4 letter word, 4 letter 4 letter word You can be anywhere in the world but your here with me. 'Cause your my 4 letter word, 4 letter word and I'm your 4 letter word (whoa) I don't wanna hear a love song 'cause I live it Every moments memorable we'll never forget it Love the way you pucker up your lips when I peck it When you get this message I'll be right here when you check it My heart, my mind, my soul, my time its all for you let me say it one more time My heart, my mind, my soul, my time its all for you underscore bottom line Your my 4 letter word, 4 letter word, my 4 letter word, 4 letter word Your my 4 letter word, 4 letter word, my 4 letter word, 4 letter word Your my 4 letter word, 4 letter word, my 4 letter word, 4 letter word Your my 4 letter word, 4 letter word, my 4 letter word, 4 letter word Love, your my 4 letter word, love"
Hip-Hop,"(Demon voice) (Flesh Flesh...) (laughs) Tough boy you can fake like you hard But if you ain't rollin' with the Lord Bigga get your (bitch ass pussy) Get your ass a hoe card bitch [Flesh] Well, hit 'em with the middle ? creepin' sleepin' competitors nothin' but silence ? Flesh ? I'm soft niggas afraid ? 5th Dawg ? book of thugs he's so raw raw motherfuck the law Law get 'em off a your dog ya'll ya'll ? Ya'll niggas ain't ready for the armaggedon ? In a daze and if you come around my way ? make my day Flesh Have any mercy not when he cock buckshot feel his ass drunken ? bloodclots ? fill his ass hot slugs when he explode Now get 'em off poppin' gotta glock flossin' a beam And call off shots right in between his eye when I hit 'em With a Nina should've seen his split wig ? Never want to fuck with my lyrical status can't touch my And my style you niggas in the game want to talk foul ? 100 proof thugstyle put it down Sure you want to bite us now (now, uh) Chorus: Flesh 1 9 9 9, 2 triple 0 0 0 we be the heroes souljahs of the new millennium ? [Afta Maff] Runnin' with a bullet proof vest and put 'em to rest When I meet a motherfucker with a fifth of Cal. AK-47 Mac-11, Hollow Points trailin' the bitch And watch me dip with my trues I fool Nigga know the rules, rules [Flesh] Whatever you do, you do what you gotta do If you snooze you lose [Afta Maff] My niggas be strong with a bullet proof on I'm checkin' the niggas' claimin' to be thugs Thinkin' of poppin' my pistol bangin' the brains I'm leavin' the niggas sho' 'cause I don't want to be judged by a 12 than carry by 6 [Flesh] I'm a empty the clip and dip For fuckin' with be	, G get your wig split Remember the silence... [Afta Maff] And I'm off here with pigs Let me get that glock cocked put 'em on the spot When I run around roofs with a bullet proof on but it won't save You trues ? lovin' that Black Hole and sho' and I'm ready to roll [Flesh] Gimme the cheese and weed really don't want to play hero [Two Gun] Puttin' in clips with the hollow point tips Two Gun say ""Trip and stay ready to rip"" Equipped with the infareds on the automatic Mac 11's Better step with your weapons niggas, thugs is who you be testin' [Flesh] If you try then nigga you wreck it with my double glock glock better off leavin' them restin' [Afta Maff] Stan be sayin' the missions impossible Murder one gon' get me unstoppable you better be watchin' or waitin' my nigga be flippin 'cause nigga we profitable Chorus [Menenski] Spittin' real with my killas These niggas gon' hear us, gon' feel us (they gon' feel us) With 7th Sign and Mo! Thug; all my niggas get love and I gon' ride My nigga Flesh pray to God with his niggas from Watts Don't stop, won't stop [Flesh] It's another one of them days Stack gotta get paid Hockin' a rage cockin' a gauge aim to peel when I dump, kill when I pump I'm a send 'em a trip to the grave I'm gonna pop on to dump 'em on a trip to the cemetery Fairy tales of the crypt I'm the keeper; Nice to meet you, busta ? niggas ? 60 figures they got they feelin' heated up repeatedly sweeped everybody ? every motherfucker want to go to hell And I'll send 'em makin' a maulin' niggas fall to the 9 We the heroes of the new millennium Hear me now Chorus [Flesh] Yeah, Mo! motherfuckin' Thug soldiers In this bitch takin' over Like we told you FBI, Flesh-N-Bone Incorporated How many ya'll bitches hate it? Understand me motherfucker When you see me what you gon' do When the 5th Dog trip on you? Chorus"
Hip-Hop,"Aye see this the shit I be talking bout, you know what I'm sayin, where you don't know what the fuck is really good, you know what I'm sayin, you feel one way but you end up walkin' out the door. Ayo dawg listen I love that bitch Cause of some bullshit I don't trust that bitch Cause of the kid I'm stuck with that bitch But my niggas like yo FUCK THAT BITCH Ayo it's like this, me and shorty got a kid, off some drunk after the club shit we done did. All these bitches got me hittin the remy, full throttle, by the time I finish the bottle, them bitches is models. It went down like this alright here's what happened, I was, you know, tryin' to fuck and once I get to rappin', we at the crib bitches hang their panies on the door knob, puff somethin', ten minutes later we on the floor. Arph arph huffin' and puffin', screamin more cause she can't get enough of the lovin'. Now look where it got us nine months later, baby is born and I realize that I hate her. Ayo dawg listen I love that bitch Cause of some bullshit I don't trust that bitch Cause of the kid I'm stuck with that bitch But my niggas like yo FUCK THAT BITCH Ayo dawg listen I love that bitch Cause of some bullshit I don't trust that bitch Cause of the kid I'm stuck with that bitch But my niggas like yo FUCK THAT BITCH You don't mind chillin with her! Man they don't know, I'm still with her cause I'm tryin' see that baby grow. That's just the pops in me, see I ain't never had one. And now that I am a father I don't wanna be a bad one. As Shorty get older how do I explain, that I really can't stand his momma, she a pain. And I never really liked the bitch out the gate... it was those two bottles of remy plus it was getting late. Now I can't say that I ain't have nothing to do with the blame. I'm the dog and bitches stay screamin' my name. She knew it was a fuck thing she ain't my wife, so why I gotta pay for it for the rest of my life Ayo dawg listen I love that bitch Cause of some bullshit I don't trust that bitch Cause of the kid I'm stuck with that bitch But my niggas like yo FUCK THAT BITCH Ayo dawg listen I love that bitch Cause of some bullshit I don't trust that bitch Cause of the kid I'm stuck with that bitch But my niggas like yo FUCK THAT BITCH See I'll support and kill a nigga. But it gets worse. Mom's got a thirst that'll get her put in a hurse. Some say this nigga cursed, the way she got me locked down, it feel like I'm trapped and I'm tryin' get out now. From the beginnin' shit was cool, check it, nigga was hungry and this bitch was food, and I wanted to eat til a dog got full, cause I knew how I felt from the day that I met you. From the beginning you had my mind, goin', lookin' forward to seein' you every time, knowin', didn't see shit cause love was blind. Fuck it that liquor is what gets you blind... real talk Ayo dawg listen I love that bitch Cause of some bullshit I don't trust that bitch Cause of the kid I'm stuck with that bitch But my niggas like yo FUCK THAT BITCH Ayo dawg listen I love that bitch Cause of some bullshit I don't trust that bitch Cause of the kid I'm stuck with that bitch But my niggas like yo FUCK THAT BITCH"
Hip-Hop,"It's the number one crew in the area The Big L be lightin' niggas like incense Gettin' men lynched, too intense, I'm killin' infants for ten cents Cause I'm a street genius with a unique penis Got fly chicks on my dick that don't even speak English I'm makin' ducks shed much tears, I buck queers I don't have it all upstairs but who the fuck cares? I'm grabbin' brews takin' fast swiggas I get cash and stash figures and harass them bitch ass niggas After you your man'll get scarred next And if your squad flex I'm lettin' off like Bernard Goetz A Tec-9 is my utensil Fillin' niggas with so much lead they can use they dick for a pencil I'm known for snatchin' purses and bombin' churches I get more pussy by accident than most niggas get on purpose I got drug spots from New York to Canada Cause Big L be fuckin' with more keys than a janitor Now it's the dictator who's style is greater It's the man with more wild flavors than motherfuckin' Now & Laters And rappers I hit 'em well They automatically go to heaven fuckin' with me cause I give 'em hell So don't try to front troop When your style is played out just like an Oshkosh jumpsuit I'm out to collect figures I'm on some Wu-Tang shit so protect your fucking neck nigga Not a role model I'm a bad figure When it comes to rap I got skills out the ass nigga I got it locked like a warden Rap without Finesse is like the NBA without Jordan So all ya new jacks kickin' wack raps It's a fact that I'll be on your fuckin' back like a knapsack It ain't shit you can tell me Because bitches still gel me without a motherfuckin' LP It's the number one crew in the area, known for sendin' garbage MCs to the graveyard Yo I got a death wish That's why I talk so much fuckin' shit I want these bitch motherfuckers to try to flip So I can fill up this clip And stick the gun between they lips like a cigarette And let 'em smoke the four fifth Ah fool, ah goodbye no need to try to lie or cry It's time for motherfuckers to die Because to me death is like sex And if my brain was a deck of cards I'd be missing a whole deck Strap up a Mac clack clack motherfuckers are runnin' like rats The blind bats are fuckin' crazed cats Cause the Microphone Nut's loose And you're wonderin' how the fuck did this madman get cut loose From 25 consecutive 25 to life bids For murderin' up some fuckin' white kids These were the kids of the prison guards Then I startin' killin' squads of prison guards in the prison yard One two everybody's through The Microphone Nut flew over the prison walls without a clue And now I'm back to haunt shit and talk shit Whoever flaunt shit I leave 'em unconscious I run through ya with a maneuver and German luger Wreck like Das EFX straight out the fuckin' sewer Please show me where the crack is at While they quarter crack the sack I crack they backs like Cracker Jacks So I'm the one you should run from Because the Microphone Nut is like a motherfuckin' stun gun The way I rock no way you could stop I shock pop and drop when Jay gets hot When I'm in the zone better hold ya own Cause I like to break when I finish a poem Pound for p-p-pound the best around No way you can get up when I get down I shake rattle and roll and wreck shit like none And beat a nigga ass half silly on the one Fuckin' A fuckin' Jay ill with skill So ladies step up I get around like a wheel I'm never chokin' off chronic skills are bionic Bitches are screaming like Onyx Respect that I'll peel a punks cap back and sign it Creep through your block fuck a Glock I step Through your neighborhood armed with nothing but a rep I'm giving these ladies something they can feel cause I'm real Ya man get outta line and it's kill kill kill It's the number one crew in the area known for sendin' garbage MCs to the graveyard Yo you step up and you'll get played like the small fry I'm throwin' niggas off the roof said you wanna be the Fall Guy So mess around you'll be a dead man I get hype tonight's the night like Redman Nuff respect to Big L who get wreck Chiggidy check yourself cause I ain't workin' with a full deck I'm lethal, eatin' people Not Jeffery Dahmer I'm the sequel, head or gut like Illegal So what cha want? Yo I'm strapped with the gats step up plap plap I'm leavin' caps in your back fool I rip tracks wanna say peace to hip hop A nigga disagree bring it on and get dropped I get wreck I'm Party Arty so hit the deck The kid with the Tec smokin' niggas like cigarettes Now some ask me how I'm gettin' jewels I say big up big up it's a stick up stick up I stick and move And that's how we do. So I.U. grab the gat and let loose Yo rat tat tat I got the gat cocked Nigga we ghost man a punk? I let it roast and leave your pussy ass comatose I'm shootin' up like the west is Fuck suggestions I'll blow out a niggas intestines Better dip fast quick fast or you won't last One blast will put your ass in a body cast And I be killin' for rep get ill in a sec Nine mil on your neck blood spill is still in effect Constantly comittin' grand larceny Arsony niggas don't want no parts of me Never past up a fast buck ask the last duck His jewels was truck he got his ass stuck So what the fuck is you sayin' hops? I'm wanted for slayin' cops Who's ever around when I be sprayin' drops But I ain't givin' a fuck who gets hit Niggas coppin' pleas but I ain't tryin' to hear shit I'll burn you faggot niggas like toast If you die and come back I shoot your spirit Now your ass is just a holy ghost You tried to play me to the left You better put a target on your head Cause you're marked for death"
